character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
石,stone,114,125,113,"shí: rock, stone, stone inscription, one of the eight ancient musical instruments 八音[bā yīn] | dàn: dry measure for grain equal to ten dou 斗, ten pecks, one hundred liters",mouth + cliff,⿸ (top-left-wrap),⿸丆口,"口 = mouth, 崖 = cliff",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07 primitive
砂,gravel / sand,115,126,117,"shā: sand, gravel, granule",few + stone,⿰ (left-right),⿰石少,"少 = few, 石 = stone",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
砌,lay brick,1518,1527,,qì: to build by laying bricks or stones,stone + cut,⿰ (left-right),⿰石切,"石 = stone, 切 = cut",RSH RTH,RSH2::L07 RTH2::L07
砍,chop,1686,1716,,"kǎn: to chop, to cut down, to throw sth at sb",stone + yawn,⿰ (left-right),⿰石欠,"石 = stone, 欠 = yawn",RSH RTH,RSH2::L18 RTH2::L18
研,grind away / polish,573,614,675,"yán: to grind, study, research",stone + two hands,⿰ (left-right),⿰石开,"石 = stone, 开 = two hands",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
砲,cannon,3032,,532,pào: variant of 炮[pào],stone + wrap,⿰ (left-right),⿰石包,"石 = stone, 包 = wrap",RTH RTK,RTH2::Postscript 1 RTK1v5::L21
破,break / rend,659,710,806,"pò: broken, damaged, worn out, to break, split or cleave",rock + covering,⿰ (left-right),⿰石皮,"岩 = rock, 皮 = covering",RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L25
砸,smash,2618,2676,,"zá: to smash, to pound, to fail, to muck up",stone + box + towel,⿰ (left-right),⿰石匝,"石 = stone, 匚 = box, 巾 = towel",RSH RTH,RSH2::L43 RTH2::L43
硫,sulfur,1874,1919,763,liú: sulfur (chemistry),stone + baby Moses,⿰ (left-right),⿰石㐬,"石 = stone, 㐬 = baby Moses",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK1v5::L23
硬,hard / stiff,588,632,695,"yìng: hard, stiff, strong, firm",rocks + even more,⿰ (left-right),⿰石更,"石 = rocks, 更 = even more",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
碌,commonplace,875,950,,"lù: laborious, small stone, to record, to tape",stone + snowman,⿰ (left-right),⿰石录,"石 = stone, 录 = snowman",RSH RTH,RSH1::L30 RTH1::L30
碎,shattered,2401,2471,,"suì: to break down, to break into pieces, fragmentary",stone + foot soldiers,⿰ (left-right),⿰石卒,"石 = stone, 卒 = foot soldiers",RSH RTH,RSH2::L37 RTH2::L37
碑,stele / tombstone,2970,2955,1512,"bēi: a monument, an upright stone tablet, stele, CL:塊|块[kuài],面[miàn]",stone + lowly,⿰ (left-right),⿰石卑,"石 = stone, 卑 = lowly",RSH RTH RTK,RSH2::L55 RTH2::L55 RTK1v5::L39
碗,bowl / teacup,2389,2454,2591,"wǎn: variant of 碗[wǎn], bowl, cup, CL:隻|只[zhī],個|个[gè]",stone + mailbox,⿰ (left-right),⿰石宛,"石 = stone, 宛 = mailbox",RSH RTH RTK,L # RSH2::L36 L # RTH2::L36 RSH2::L36 RTH2::L36 RTK3v2::CH02
碟,saucer,1560,1658,,"dié: dish, plate",stone + family tree,⿰ (left-right),⿰石枼,"石 = stone, 枼 = family tree",RSH RTH,RSH2::L16 RTH2::L10
碧,green jade / blue-green,1578,1603,2588,"bì: green jade, bluish green, blue, jade",jewel + dove + stone,⿱ (top-bottom),⿱珀石,"玉 = jewel, 白 = dove, 石 = stone",RSH RTH RTK,RSH2::L12 RTH2::L12 RTK3v2::CH02
碩,big / illustrious,1517,,2593,"shuò: large, big",stone + floor + drop + pent in + floor + floor + drop + ㇏,⿰ (left-right),⿰石頁,"石 = stone, 一 = floor, 丿 = drop, 囗 = pent in",RTH RTK,RTH2::L07 RTK3v2::CH02
碰,bump,2936,2755,,"pèng: to touch, to meet with, to bump",stone + side by side,⿰ (left-right),⿰石並,"石 = stone, 並 = side by side",RSH RTH,RSH2::L46 RTH2::L55
碳,carbon,1883,1933,,tàn: carbon (chemistry),stone + charcoal,⿰ (left-right),⿰石炭,"石 = stone, 炭 = charcoal",RSH RTH,RSH2::L23 RTH2::L23
確,reliable / assurance,508,,567,"què: authenticated, solid, firm, real",stone + crown + dropdrop + walking stick + eyedropper + floor + walking stick + floor + two,⿰ (left-right),⿰石隺,"石 = stone, 冖 = crown, ㇒ = dropdrop, 丨 = walking stick, 丶 = eyedropper, 一 = floor, 二 = two",RTH RTK,RTH1::L20 RTK1v5::L21
碼,numeral,2848,,,"mǎ: weight, number, code, to pile",stone + {51} + flames,⿰ (left-right),⿰石馬,"石 = stone, 灬 = flames",RTH,RTH2::L53
磁,magnetism,2351,2415,1390,"cí: magnetic, magnetism, porcelain",stone + Mona Lisa,⿰ (left-right),⿰石兹,"石 = stone, 兹 = Mona Lisa",RSH RTH RTK,RSH2::L35 RTH2::L35 RTK1v5::L36
磅,pound,1704,1734,,"bàng: see 磅秤 scale, platform balance, pound (unit of weight, about 454 grams)",Magellan + stone,⿰ (left-right),⿰石旁,"囧旁 = Magellan, 石 = stone",RSH RTH,RSH2::L19 RTH2::L19
磚,brick,2942,,,zhuān: brick,stone + {7} + glue,⿰ (left-right),⿰石專,"石 = stone, 寸 = glue",RTH,RTH2::L55
磨,grind,1752,1786,594,"mó: to rub, to grind, to polish, to sharpen | mò: grindstone, to grind, to turn round",hemp + stone,⿸ (top-left-wrap),⿸麻石,"麻 = hemp, 石 = stone",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
礁,reef,1735,1772,558,"jiāo: reef, shoal rock",stone + roast turkey,⿰ (left-right),⿰石焦,"石 = stone, 焦 = roast turkey",RSH RTH RTK,RSH2::L20 RTH2::L20 RTK1v5::L21
礎,foundation / cornerstone,374,,394,"chǔ: foundation, base",stone + clear,⿰ (left-right),⿰石楚,"石 = stone, 楚 = clear",RTH RTK,RTH1::L17 RTK1v5::L17
礙,obstruct,2369,,,"ài: to hinder, to obstruct, to block",stone + furled brow,⿰ (left-right),⿰石疑,"石 = stone, 疑 = furled brow",RTH,RTH2::L36
礦,mine,2946,,,"kuàng: ore, mine",stone + cave + yellow,⿰ (left-right),⿰石廣,"石 = stone, 广 = cave, 黄 = yellow",RTH,RTH2::L55
示,show,834,900,1086,"shì: to show, to reveal",two + small,⿱ (top-bottom),⿱二小,"二 = two, 小 = small",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30 primitive
社,society / company,835,901,1092,"shè: society, group, club, agency",altar + soil,⿰ (left-right),⿰礻土,"坛 = altar, 土 = soil",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
祈,supplicate / pray,2130,2186,1128,"qí: to implore, to pray, to request",altar + tomahawk,⿰ (left-right),⿰礻斤,"坛 = altar, 斤 = tomahawk",RSH RTH RTK,RSH2::L30 RTH2::L30 RTK1v5::L31
祕,confidential,2104,,,mì: variant of 秘[mì],altar + certainly,⿰ (left-right),⿰礻必,"礻 = altar, 必 = certainly",RTH,RTH2::L29
祖,ancestor,1300,1348,1779,"zǔ: ancestor, forefather, grandparents",altar + shelves,⿰ (left-right),⿰礻且,"坛 = altar, 且 = shelves",RSH RTH RTK,RSH1::L46 RTH1::L45 RTK1v5::L47
祝,wish well / celebrate,2102,2162,1089,"zhù: to wish, to express good wishes, to pray, (old) wizard",altar + teenager,⿰ (left-right),⿰礻兄,"坛 = altar, 兄 = teenager",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK1v5::L30
神,gods,852,920,1119,"shén: God, unusual, mysterious, soul",altar + monkey,⿰ (left-right),⿰礻申,"坛 = altar, 猴 = monkey",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
祟,evil spirit / cast a spell,2101,2161,2945,suì: evil spirit,exit + altar,⿱ (top-bottom),⿱出示,"出 = exit, 坛 = altar",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK3v2::CH03
祥,propitious / auspicious,2103,2163,1088,"xiáng: auspicious, propitious",altar + sheep,⿰ (left-right),⿰礻羊,"坛 = altar, 羊 = sheep",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK1v5::L30
票,ticket / ballot,1194,1258,1606,"piào: ticket, ballot, bank note, CL:張|张[zhāng]",Old West + altar,⿱ (top-bottom),⿱覀示,"西 = Old West, 坛 = altar",RSH RTH RTK,RSH1::L40 RTH1::L40 RTK1v5::L41
祭,offer sacrifice / ritual,842,910,1102,"jì: to offer sacrifice, festive occasion",flesh + crotch + altar,⿱ (top-bottom),⿱{21}示,"月 = flesh, 又 = crotch, 坛 = altar",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
禁,prohibit / prohibition,838,906,1098,"jīn: to endure | jìn: to prohibit, to forbid",woods + altar,⿱ (top-bottom),⿱林示,"林 = woods, 坛 = altar",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
禍,misfortune / calamity,2276,,1291,"huò: disaster, misfortune, calamity",altar + {108} + glass cover + mouth,⿰ (left-right),⿰礻咼,"礻 = altar, 冂 = glass cover, 口 = mouth",RTH RTK,RTH2::L33 RTK1v5::L34
福,happiness / blessing,837,904,1090,"Fú: surname Fu, abbr. for Fujian province 福建省[Fú jiàn shěng] | fú: good fortune, happiness, luck",altar + wealth,⿰ (left-right),⿰礻畐,"坛 = altar, 畐 = wealth",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
禦,withstand / fend off,2359,,2597,"yù: to defend, to resist",withstand + two + small,⿱ (top-bottom),⿱御示,"御 = withstand, 二 = two, 小 = small",RTH RTK,RTH2::L36 RTK3v2::CH02
禪,meditation,1653,,,"chán: dhyana (Sanskrit), Zen, meditation (Buddhism) | shàn: to abdicate",altar + windup teeth + first + floor,⿰ (left-right),⿰礻單,"礻 = altar, 吅 = windup teeth, 甲 = first, 一 = floor",RTH,RTH2::L18
禮,ceremony,1069,,,"lǐ: gift, rite, ceremony, CL:份[fèn]",altar + bent + floor + mouth + animal horns + floor,⿰ (left-right),⿰礻豊,"礻 = altar, 曲 = bent, 一 = floor, 口 = mouth, 丷 = animal horns",RTH,RTH1::L37
禱,pray,2755,,,"dǎo: prayer, pray, supplication",altar + floor + walking stick + floor + beret + floor + walking stick + floor + floor + mouth + glue,⿰ (left-right),⿰礻壽,"礻 = altar, 一 = floor, 丨 = walking stick, 乛 = beret, 口 = mouth, 寸 = glue",RTH,RTH2::L49
禺,Talking Cricket,,,,ǒu: archaic variant of 偶[ǒu] | yú: ancient area | yù: legendary monkey of ancient China,insect + brain + belt,⿻ (overlaid),⿻日禸,"虫 = insect, 脑 = brain, 囧冂 = belt",,primitive
禽,fowl,1117,1181,2049,"qín: generic term for birds and animals, birds, to capture (old)",umbrella + leave,⿱ (top-bottom),⿱𠆢离,"𠆢 = umbrella, 离 = leave",RSH RTH RTK,RSH1::L38 RTH1::L38 RTK3v2::CH01
禾,standing grain,710,762,,"hé: cereal, grain",dropdrop + floor + walking stick + umbrella,⿱ (top-bottom),⿱㇒木,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella",RSH RTH,RSH1::L25 RTH1::L25 primitive
禿,bald,1941,,2606,"tū: bald, blunt",dropdrop + floor + walking stick + umbrella + drop + hook,⿱ (top-bottom),⿱禾儿,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 丿 = drop, 乚 = hook",RTH RTK,RTH2::L25 RTK3v2::CH02
秀,elegant / excel,720,775,914,"xiù: handsome, refined, elegant, graceful",wild rice + fist,⿱ (top-bottom),⿱禾乃,"禾 = wild rice, 乃 = fist",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
私,private,1960,2017,902,"sī: personal, private, selfish",wild rice + elbow,⿰ (left-right),⿰禾厶,"禾 = wild rice, 厶 = elbow",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
秉,wield,2141,2208,,"bǐng: to grasp, to hold, to maintain",rake + wild rice,⿻ (overlaid),⿻禾{43},"肀 = rake, 禾 = wild rice",RSH RTH,RSH2::L30 RTH2::L30
秋,autumn,714,768,900,"qiū: autumn, fall, harvest time, a swing",wild rice + fire,⿰ (left-right),⿰禾火,"禾 = wild rice, 火 = fire",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
科,academic discipline / department,895,970,1179,"kē: branch of study, administrative section, division, field",wild rice + measuring cup,⿰ (left-right),⿰禾斗,"禾 = wild rice, 斗 = measuring cup",RSH RTH RTK,RSH1::L30 RTH1::L30 RTK1v5::L31
秒,seconds,1943,2005,899,"miǎo: second (of time), unit of angle or arc equivalent to one sixtieth of a degree",wild rice + few,⿰ (left-right),⿰禾少,"禾 = wild rice, 少 = few",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
租,rent / tariff,2682,2748,1778,"zū: to hire, to rent, to charter, to rent out",wild rice + shelves,⿰ (left-right),⿰禾且,"禾 = wild rice, 且 = shelves",RSH RTH RTK,RSH2::L46 RTH2::L45 RTK1v5::L47
秤,scale / balancing scales,2466,2531,2604,"chèng: steelyard, Roman balance, CL:臺|台[tái]",wild rice + water lily,⿰ (left-right),⿰禾平,"禾 = wild rice, 平 = water lily",RSH RTH RTK,RSH2::L38 RTH2::L38 RTK3v2::CH02
秦,Qin / Manchu dynasty,2529,2598,2877,"Qín: surname Qin, Qin dynasty (221-207 BC) of the first emperor 秦始皇[Qín Shǐ huáng], abbr. for 陝西|陕西[Shǎn xī]",bonsai + wild rice,⿱ (top-bottom),⿱𡗗禾,"𡗗 = bonsai, 禾 = wild rice",RSH RTH RTK,RSH2::L39 RTH2::L39 RTK3v2::CH03
秩,order / regularity,1961,2018,903,"zhì: order, orderliness",wild rice + lose,⿰ (left-right),⿰禾失,"禾 = wild rice, 失 = lose",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
移,shift,713,767,898,"yí: to move, to shift, to change, to alter",wild rice + many,⿰ (left-right),⿰禾多,"禾 = wild rice, 多 = many",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
稀,scarce / sparse,1109,1168,2611,"xī: rare, uncommon, watery, sparse",wild rice + hope,⿰ (left-right),⿰禾希,"禾 = wild rice, 希 = hope",RSH RTH RTK,RSH1::L38 RTH1::L38 RTK3v2::CH02
稅,tax,1955,,,"shuì: taxes, duties",dropdrop + floor + walking stick + umbrella + drop + ㇏ + teenager,⿰ (left-right),⿰禾兌,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 丿 = drop, 兄 = teenager",RTH,RTH2::L25
程,journey / extent,711,763,894,"chéng: rule, order, regulations, formula",wild rice + submit,⿰ (left-right),⿰禾呈,"禾 = wild rice, 呈 = submit",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
稍,a little,1944,2006,,"shāo: somewhat, a little",wild rice + candle,⿰ (left-right),⿰禾肖,"禾 = wild rice, 烛 = candle",RSH RTH,RSH2::L25 RTH2::L25
稚,immature,1958,2013,896,"zhì: infantile, young",wild rice + turkey,⿰ (left-right),⿰禾隹,"禾 = wild rice, 隹 = turkey",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
稠,dense,1952,2009,,"chóu: dense, crowded, thick, many",wild rice + lap,⿰ (left-right),⿰禾周,"禾 = wild rice, 周 = lap",RSH RTH,RSH2::L25 RTH2::L25
種,species,1245,,1679,"zhǒng: seed, species, kind, type | zhòng: to plant, to grow, to cultivate",dropdrop + floor + walking stick + umbrella + heavy,⿰ (left-right),⿰禾重,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 重 = heavy",RTH RTK,RTH1::L42 RTK1v5::L43
稱,weigh,1319,,,"chèng: variant of 秤[chèng], steelyard | chèn: to fit, balanced, suitable | chēng: to weigh, to state, to name, name",dropdrop + floor + walking stick + umbrella + dropdrop + eyedropper + eyedropper + dropdrop + glass cover + floor + walking stick + floor,⿰ (left-right),⿰禾爯,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 丶 = eyedropper, 冂 = glass cover",RTH,RTH1::L47
稻,unhulled rice,2926,2963,,"dào: paddy, rice (Oraza sativa)",wild rice + scoop,⿰ (left-right),⿰禾舀,"禾 = wild rice, 舀 = scoop",RSH RTH,RSH2::L55 RTH2::L55
稼,crops / earnings,1956,2011,893,jià: sow grain,wild rice + flophouse,⿰ (left-right),⿰禾家,"禾 = wild rice, 囧家 = flophouse",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
稿,draft,1953,2008,892,"gǎo: manuscript, draft, stalk of grain",wild rice + Eiffel Tower,⿰ (left-right),⿰禾高,"禾 = wild rice, 囧高 = Eiffel Tower",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
穀,cereal / cereals,1963,,917,"gǔ: grain, corn",floor + walking stick + floor + crown + floor + dropdrop + floor + walking stick + umbrella + missile,⿰ (left-right),⿰𥞤殳,"一 = floor, 丨 = walking stick, 冖 = crown, ㇒ = dropdrop, 𠆢 = umbrella, 殳 = missile",RTH RTK,RTH2::L25 RTK1v5::L26
穆,reverent / obeisant,3026,3014,2612,"mù: solemn, reverent, calm, burial position in an ancestral tomb (old)",dropdrop + floor + walking stick + umbrella + white + dropdrop + walking stick + eyedropper + dropdrop + dropdrop + dropdrop,⿰ (left-right),⿰禾㣎,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 白 = white, 丶 = eyedropper",RSH RTH RTK,RSH2::Postscript 1 RTH2::Postscript 1 RTK3v2::CH02
穌,rise again,1945,,,"sū: archaic variant of 蘇|苏[sū], to revive",dagger + pent in + floor + walking stick + flames + dropdrop + floor + walking stick + umbrella,⿰ (left-right),⿰魚禾,"⺈ = dagger, 囗 = pent in, 一 = floor, 丨 = walking stick, 灬 = flames, ㇒ = dropdrop, 𠆢 = umbrella",RTH,RTH2::L25
積,accumulate / volume,1160,,1543,"jī: to amass, to accumulate, to store, measured quantity (such as area of volume)",dropdrop + floor + walking stick + umbrella + floor + walking stick + floor + floor + pent in + floor + floor + drop + ㇏,⿰ (left-right),⿰禾責,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 囗 = pent in, 丿 = drop",RTH RTK,RTH1::L39 RTK1v5::L40
穎,clever / brush tip,1954,,2790,"yǐng: head of grain, husk, tip, point",hook + dropdrop + dropdrop + floor + walking stick + umbrella + floor + drop + pent in + floor + floor + drop + ㇏,⿰ (left-right),⿰⿱匕禾頁,"乚 = hook, ㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 丿 = drop, 囗 = pent in",RTH RTK,RTH2::L25 RTK3v2::CH02
穗,ear of grain,2944,2015,,"Suì: abbr. for Guangzhou 廣州|广州[Guǎng zhōu] | suì: ear of grain, fringe, tassel",wild rice + favor,⿰ (left-right),⿰禾惠,"禾 = wild rice, 惠 = favor",RSH RTH,RSH2::L25 RTH2::L55
穩,stable,2608,,,"wěn: settled, steady, stable",dropdrop + floor + walking stick + umbrella + dropdrop + eyedropper + eyedropper + dropdrop + floor + walking stick + floor + {50} + floor + dropdrop + hook + eyedropper + eyedropper,⿰ (left-right),⿰禾㥯,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 丶 = eyedropper, 乚 = hook",RTH,RTH2::L43
穫,harvest,1959,,908,"huò: to reap, to harvest",dropdrop + floor + walking stick + umbrella + floor + walking stick + walking stick + dropdrop + walking stick + eyedropper + 丅 + floor + two + right hand,⿰ (left-right),⿰禾蒦,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 𠆢 = umbrella, 丶 = eyedropper, 二 = two, 又 = right hand",RTH RTK,RTH2::L25 RTK1v5::L26
穴,hole,995,1072,1316,"xué: cave, cavity, hole, acupuncture point",house + eight + animal legs,⿱ (top-bottom),⿱宀八,"宀 = house, 八 = eight, 囧只－口 = animal legs",RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
究,research,996,1073,1320,"jiū: after all, to investigate, to study carefully, Taiwan pr. [jiù]",hole + baseball,⿱ (top-bottom),⿱穴九,"穴 = hole, 九 = baseball",RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
空,empty,998,1075,1317,"kōng: empty, air, sky, in vain | kòng: to empty, vacant, unoccupied, space",hole + I-beam,⿱ (top-bottom),⿱穴工,"穴 = hole, 工 = I-beam",RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
穿,pass through / drill,1375,1415,2616,"chuān: to bore through, to pierce, to perforate, to penetrate",hole + tusk,⿱ (top-bottom),⿱穴牙,"穴 = hole, 牙 = tusk",RSH RTH RTK,RSH1::L51 RTH1::L51 RTK3v2::CH02
突,abruptly / stab,997,1074,1319,"tū: to dash, to move forward quickly, to bulge, to protrude",hole + chihuahua,⿱ (top-bottom),⿱穴犬,"穴 = hole, 犬 = chihuahua",RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
窄,strait / tight,2289,2358,2614,"zhǎi: narrow, narrow-minded, badly off",hole + saw,⿱ (top-bottom),⿱穴乍,"穴 = hole, 乍 = saw",RSH RTH RTK,RSH2::L34 RTH2::L34 RTK3v2::CH02
窗,window,1475,1483,,"chuāng: shutter, window, CL:扇[shàn]",hole + GPS,⿱ (top-bottom),⿱穴囱,"穴 = hole, 囱 = GPS",RSH RTH,RSH1::L55 RTH1::L55
窘,poverty-stricken,2291,2361,,"jiǒng: distressed, embarrassed",hole + monarch,⿱ (top-bottom),⿱穴君,"穴 = hole, 君 = monarch",RSH RTH,RSH2::L34 RTH2::L34
窟,den / cavern,2288,2360,2615,"kū: cave, hole",hole + knuckle under,⿱ (top-bottom),⿱穴屈,"穴 = hole, 屈 = knuckle under",RSH RTH RTK,RSH2::L34 RTH2::L34 RTK3v2::CH02
窩,hollow,2293,,,"wō: nest, pit or hollow on the human body, lair, den",hole + {108} + glass cover + mouth,⿱ (top-bottom),⿱穴咼,"穴 = hole, 冂 = glass cover, 口 = mouth",RTH,RTH2::L34
窮,poor / hard up,2292,,1326,"qióng: exhausted, poor",hole + stoop,⿱ (top-bottom),⿱穴躬,"穴 = hole, 躬 = stoop",RTH RTK,RTH2::L34 RTK1v5::L35
窯,kiln,2286,,1325,"yáo: kiln, oven",hole + animal horns + floor + floor + walking stick + floor + flames,⿱ (top-bottom),⿱穴羔,"穴 = hole, 丷 = animal horns, 一 = floor, 丨 = walking stick, 灬 = flames",RTH RTK,RTH2::L34 RTK1v5::L35
窺,peep,2287,,2613,"kuī: to peep, to pry into",hole + husband + pent in + floor + floor + drop + hook,⿱ (top-bottom),⿱穴規,"穴 = hole, 夫 = husband, 囗 = pent in, 一 = floor, 丿 = drop, 乚 = hook",RTH RTK,RTH2::L34 RTK3v2::CH02
竄,scurry,2918,,,"cuàn: to flee, to scuttle, to exile or banish, to amend or edit",hole + mouse,⿱ (top-bottom),⿱穴鼠,"穴 = hole, 鼠 = mouse",RTH,RTH2::L55
竊,pilfer,2791,,,"qiè: to steal, secretly, (humble) I",hole + droppings + magic wand + glass cover + person + glass cover + 𠃋 + eyedropper,⿱ (top-bottom),⿱穴⿰釆⿳⺊𠔿⿵冂厶,"穴 = hole, 釆 = droppings, ⺊ = magic wand, 冂 = glass cover, 人 = person, 丶 = eyedropper",RTH,RTH2::L51
立,standing up / stand up,408,444,431,"lì: to stand, to set up, to establish, to lay down",top hat + animal horns + floor,⿱ (top-bottom),⿱亠䒑,"亠 = top hat, 丷 = animal horns, 一 = floor",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18 primitive
站,station / outpost,410,446,2620,"zhàn: station, to stand, to halt, to stop",tell fortunes + vase,⿰ (left-right),⿰立占,"占 = tell fortunes, 立 = vase",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK3v2::CH02
竟,unexpectedly,454,487,,"jìng: unexpectedly, actually, to go so far as to, indeed",standing up + human legs + tongue wagging in the mouth,⿱ (top-bottom),⿱音儿,"立 = standing up, 儿 = human legs, 日 = tongue wagging in the mouth",RSH RTH,RSH1::L19 RTH1::L19 primitive
章,chapter / badge,411,447,433,"zhāng: chapter, section, clause, movement (of symphony)",sunflower + vase,⿱ (top-bottom),⿱立早,"早 = sunflower, 立 = vase",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18
童,juvenile,414,450,436,"tóng: boy, child, children",standing up + computer,⿱ (top-bottom),⿱立里,"立 = standing up, 里 = computer",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18
竭,use up,2060,2110,,jié: to exhaust,vase + siesta,⿰ (left-right),⿰立曷,"立 = vase, 曷 = siesta",RSH RTH,RSH2::L26 RTH2::L26
端,upright / edge,891,966,1167,"duān: end, extremity, item, port",vase + prospector,⿰ (left-right),⿰立耑,"立 = vase, 耑 = prospector",RSH RTH RTK,RSH1::L30 RTH1::L30 RTK1v5::L31
競,compete / vie,412,,434,"jìng: to compete, to contend, to struggle",compete + compete,⿰ (left-right),⿰竞竞,竞 = compete,RTH RTK,RTH1::L18 RTK1v5::L18
竹,bamboo,728,786,937,"zhú: bamboo, CL:棵[kē],支[zhī],根[gēn]",nail,⿰ (left-right),⿰⿱𠂉丨⿱𠂉亅,钉 = nail,RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
竿,pole,2572,2645,2632,gān: pole,bamboo + clothesline,⿱ (top-bottom),⿱𥫗干,"竹 = bamboo, 干 = clothesline",RSH RTH RTK,RSH2::L42 RTH2::L42 RTK3v2::CH02
笑,laugh,729,787,938,"xiào: laugh, smile, CL:個|个[gè]",bamboo + die young,⿱ (top-bottom),⿱𥫗夭,"竹 = bamboo, 夭 = die young",RSH RTH RTK,L # RSH1::L25 L # RTH1::L25 RSH1::L25 RTH1::L25 RTK1v5::L26
笛,flute,2112,2172,1111,dí: flute,bamboo + sprout,⿱ (top-bottom),⿱𥫗由,"竹 = bamboo, 芽 = sprout",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK1v5::L30
符,symbol / token,2038,2099,1001,"fú: mark, sign, talisman, to seal",bamboo + pay,⿱ (top-bottom),⿱𥫗付,"竹 = bamboo, 付 = pay",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
笨,stupid,1987,2049,,"bèn: stupid, foolish, silly, slow-witted",bamboo + notebook,⿱ (top-bottom),⿱𥫗本,"竹 = bamboo, 本 = notebook",RSH RTH,RSH2::L25 RTH2::L25
第,No.,949,1025,1239,"dì: (prefix indicating ordinal number, e.g. first, number two etc)",bamboo + dollar sign,⿱ (top-bottom),⿱𥫗𢎨,"竹 = bamboo, 弗 = dollar sign",RSH RTH RTK,RSH1::L32 RTH1::L32 RTK1v5::L33
筆,pen / writing brush,731,,943,"bǐ: pen, pencil, writing brush, to write or compose",bamboo + rake + two,⿱ (top-bottom),⿱𥫗聿,"𥫗 = bamboo, 肀 = rake, 二 = two",RTH RTK,RTH1::L25 RTK1v5::L26
等,etc.,732,789,945,"děng: class, rank, grade, equal to",bamboo + Buddhist temple,⿱ (top-bottom),⿱𥫗寺,"竹 = bamboo, 寺 = Buddhist temple",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
筋,tendon / muscle,1989,2053,941,"jīn: muscle, tendon",bamboo + part of the body + power,⿱ (top-bottom),⿱𥫗肋,"竹 = bamboo, 月 = part of the body, 力 = power",RSH RTH RTK,RSH2::L25 RTH2::L25 RTK1v5::L26
