character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
閻,the gate of a lane,,,,Yan2,,,^⿵門臽$(GHTJKPV),"門 = gate / gates, 臽 = pothole",TW,TW::A
闋,classifier for songs or ci poems,,,,que4,,,^⿵門癸$(GHTJKP),"門 = gate / gates, 癸 = tenth in order",TW,TW::A
闌,door-screen,,,,lan2,,,^⿵門柬$(GHTJKPV),"門 = gate / gates, 柬 = abbr. for 柬埔寨",TW,TW::A
闈,gate to palace,,,,wei2,,,^⿵門韋$(GHTJKP),"門 = gate / gates, 韋 = tanned hide",TW,TW::A
闔,door (2),,,,he2,,,^⿵門盍$(GHTJKP),"門 = gate / gates, 盍 = why not",TW,TW::A
闐,rumbling sound,,,,tian2,,,^⿵門真$(GHT),"門 = gate / gates, 真 = true",TW,TW::A
陝,mountain pass (2),,,,Shan3,,,^⿰阝㚒$(GHTJKP),阝 = pinnacle,TW,TW::A
隕,let fall,,,,yun3,,,^⿰阝員$(GHTJKP),"阝 = pinnacle, 員 = employee",TW,TW::A
隴,short name for Gansu Province,,,,Long3,,,^⿰阝龍$(GHTJKPV),"阝 = pinnacle, 龍 = dragon / dragon [old]",TW,TW::A
雋,meaningful,,,,Juan4,,,^⿱隹{33}$(GHTJKPV),隹 = turkey,TW,TW::A
